station_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
53,3.722466,3.630298,3.619465,3.884223,3.924152,3.767038,3.737451,3.626507,3.487173,3.85521,3.171299,3.312346
54,2.571753,2.751644,2.903476,3.212428,3.215539,3.120407,2.936512,2.799139,2.49128,2.692388,2.410539,2.588759
55,3.080937,3.280674,3.707792,4.273526,4.20353,4.053475,4.256301,4.496306,3.911317,3.895286,3.33768,2.940683
56,3.975539,3.775385,3.671894,4.026559,4.156375,4.115583,3.844087,3.821346,3.714766,4.252234,3.317204,3.425776
57,2.827623,2.822098,3.140034,4.2443,4.404817,4.205175,4.407584,4.245757,3.959582,3.370744,3.639714,2.719024
58,3.150169,3.303196,3.797007,4.15062,3.948936,4.005501,4.050359,4.29431,3.900967,3.895306,3.297246,2.845729
59,2.348461,2.558861,2.631826,2.98279,2.854249,2.765716,2.762054,2.602645,2.362512,2.550055,2.430115,2.408631
60,2.354127,2.446528,2.704856,3.255036,3.252759,3.130591,3.086698,3.319125,2.654777,2.804727,2.557302,2.451006
61,3.201607,3.202873,3.022232,3.405243,3.937401,3.87373,3.795644,3.751853,3.55536,3.40631,3.048852,2.953587
62,3.021142,3.187481,3.749395,4.36976,4.158973,4.113154,4.258483,4.49664,4.069469,3.9656,3.26892,2.781282
63,3.351276,3.349449,3.199792,3.299407,3.599594,3.547461,3.600184,3.648566,3.40019,3.2496,3.151789,3
64,2.770323,2.953063,3.537179,3.894956,3.698272,3.676727,3.667809,3.747386,3.548307,3.518164,2.862706,2.637279
65,3.304977,3.272545,3.179094,3.25784,3.513504,3.515142,3.586058,3.522014,3.398465,3.256731,3.105397,2.962026
66,2.874514,3.013225,3.572963,3.856455,3.913331,3.755112,3.720811,3.907656,3.770748,3.511363,3.041397,2.752768
67,2.905287,3.003211,3.754668,4.153468,3.909948,3.877193,3.851383,4.047788,3.705333,3.675859,3.006972,2.752669
68,2.825864,2.951903,3.551069,3.893553,4.058805,3.763637,3.855809,4.076205,3.669617,3.534178,3.178366,2.77775
69,3.379884,3.293964,3.279576,3.4454,3.49728,3.500721,3.61878,3.549584,3.350613,3.362613,3.153155,3.001072
70,3.294942,3.298678,3.198988,3.50037,3.66318,3.691931,3.800314,3.749136,3.545379,3.488587,3.1,2.997538
